행정구역,2023년04월_계_총인구수,2023년04월_계_연령구간인구수,2023년04월_계_0~9세,2023년04월_계_10~19세,2023년04월_계_20~29세,2023년04월_계_30~39세,2023년04월_계_40~49세,2023년04월_계_50~59세,2023년04월_계_60~69세,2023년04월_계_70~79세,2023년04월_계_80~89세,2023년04월_계_90~99세,2023년04월_계_100세 이상
서울특별시  (1100000000),"9,422,710","9,422,710","533,058","746,534","1,380,665","1,425,142","1,439,498","1,490,099","1,311,159","720,855","330,629","43,651","1,420"
서울특별시 종로구 (1111000000),"140,891","140,891","6,165","10,094","21,999","19,313","19,705","24,043","20,536","11,461","6,608",933,34
서울특별시 종로구 청운효자동(1111051500),"11,531","11,531",640,"1,114","1,404","1,560","1,986","1,884","1,398",912,554,76,3
서울특별시 종로구 사직동(1111053000),"9,104","9,104",492,665,"1,079","1,430","1,411","1,496","1,243",697,501,86,4
서울특별시 종로구 삼청동(1111054000),"2,301","2,301",83,170,266,294,323,355,392,239,150,27,2
서울특별시 종로구 부암동(1111055000),"9,168","9,168",404,861,"1,138","1,142","1,403","1,644","1,338",740,423,71,4
서울특별시 종로구 평창동(1111056000),"17,520","17,520","1,022","1,522","2,136","2,066","2,536","3,169","2,750","1,364",810,136,9
서울특별시 종로구 무악동(1111057000),"8,008","8,008",558,931,852,850,"1,298","1,422","1,083",595,372,44,3
서울특별시 종로구 교남동(1111058000),"9,764","9,764",743,817,"1,111","1,458","1,711","1,637","1,179",694,372,42,0
서울특별시 종로구 가회동(1111060000),"3,939","3,939",166,300,423,519,647,688,568,382,212,34,0
서울특별시 종로구 종로1.2.3.4가동(1111061500),"6,737","6,737",157,203,968,966,853,"1,134","1,329",714,366,45,2
서울특별시 종로구 종로5.6가동(1111063000),"5,419","5,419",156,220,"1,216",855,562,881,781,478,236,34,0
서울특별시 종로구 이화동(1111064000),"7,046","7,046",190,331,"1,547","1,235",841,"1,028",920,573,334,47,0
서울특별시 종로구 혜화동(1111065000),"16,097","16,097",537,"1,306","4,342","1,983","1,992","2,311","1,691","1,092",735,102,6
서울특별시 종로구 창신제1동(1111067000),"4,630","4,630",107,188,572,604,510,882,"1,014",469,260,24,0
서울특별시 종로구 창신제2동(1111068000),"7,625","7,625",174,352,"1,014",888,858,"1,691","1,448",772,382,46,0
서울특별시 종로구 창신제3동(1111069000),"6,424","6,424",323,442,858,902,821,"1,174","1,077",499,284,44,0
서울특별시 종로구 숭인제1동(1111070000),"5,778","5,778",205,348,706,804,842,"1,085",960,519,268,40,1
서울특별시 종로구 숭인제2동(1111071000),"9,800","9,800",208,324,"2,367","1,757","1,111","1,562","1,365",722,349,35,0
